,Job Title,Company Name,Location,avg_salary
0,Data Scientist,Others,"Albuquerque, NM",72.0
1,Healthcare Data Scientist,Others,Others,87.5
2,Data Scientist,KnowBe4,"Clearwater, FL",85.0
3,Data Scientist,PNNL,"Richland, WA",76.5
4,Data Scientist,Affinity Solutions,"New York, NY",114.5
5,Data Scientist,CyrusOne,"Dallas, TX",95.0
6,Data Scientist,ClearOne Advantage,"Baltimore, MD",73.5
7,Data Scientist,Logic20/20,"San Jose, CA",114.0
8,Research Scientist,Rochester Regional Health,"Rochester, NY",61.0
9,Data Scientist,<intent>,"New York, NY",140.0
10,Data Scientist,Others,"San Jose, CA",163.5
11,Data Scientist,ManTech,"Chantilly, VA",85.0
12,Staff Data Scientist - Technology,Walmart,"Plano, TX",139.0
13,Data Analyst,Others,"Seattle, WA",65.5
14,Data Scientist,Takeda Pharmaceuticals,"Cambridge, MA",113.5
15,Data Engineer I,Others,Others,146.0
16,"Scientist I/II, Biology",Others,"Cambridge, MA",102.0
17,Customer Data Scientist,h2o.ai,"Mountain View, CA",153.5
18,Data Scientist - Health Data Analytics,Nuna,"San Francisco, CA",142.5
19,Data Scientist,Pinnacol Assurance,"Denver, CO",87.5
20,Data Scientist,Others,"Seattle, WA",105.5
21,Senior Data Scientist / Machine Learning,Health IQ,"Dallas, TX",96.0
22,Data Scientist - Quantitative,Truckstop.com,"Chicago, IL",112.5
23,Data Scientist,SMC 3,"Louisville, KY",84.0
24,Data Scientist,Novetta,"Herndon, VA",143.0
25,Digital Health Data Scientist,Pfizer,"Cambridge, MA",86.5
26,Data Scientist,First Tech Federal Credit Union,"Hillsboro, OR",99.5
27,Associate Data Analyst,The Hanover Insurance Group,"Worcester, MA",47.5
28,Clinical Data Scientist,Pfizer,"Groton, CT",84.0
29,Data Scientist,KnowBe4,"Clearwater, FL",85.0
30,Data Scientist,PNNL,"Richland, WA",76.5
31,Data Scientist,Amrock,"Detroit, MI",96.0
32,Data Scientist / Machine Learning Expert,Novartis,"Cambridge, MA",114.5
33,Data Scientist,Juniper Networks,"Sunnyvale, CA",121.0
34,Data Scientist,New England Biolabs,"Ipswich, MA",112.5
35,Web Data Analyst,Clarity Insights,"San Jose, CA",106.0
36,Data Scientist,Esri,"Redlands, CA",107.0
37,Data Scientist,Systems & Technology Research,Others,110.0
38,Senior Data Scientist,Sartorius,"Fremont, CA",147.5
39,Data Engineer,Others,Others,106.0
40,Data Analyst,Others,"San Francisco, CA",88.0
41,Data Engineer,Others,"Marlborough, MA",98.5
42,Data Scientist - Algorithms & Inference,Nuna,"San Francisco, CA",142.5
43,Scientist,Others,Others,82.5
44,Senior Data Scientist,Equity Residential,"Chicago, IL",130.0
46,Lead Data Scientist,Visa Inc.,"Bellevue, WA",184.5
47,Associate Data Analyst,Others,Others,29.5
48,Spectral Scientist/Engineer,Others,"Beavercreek, OH",86.5
49,College Hire - Data Scientist - Open to December 2019 Graduates,Caterpillar,"Peoria, IL",81.0
50,Data Scientist,Zimmerman Advertising,"Fort Lauderdale, FL",91.0
51,"Data Scientist, Office of Data Science",Liberty Mutual Insurance,"Boston, MA",114.5
52,Data Science Analyst,Others,"Huntsville, AL",68.0
53,Data Scientist,Swiss Re,"Armonk, NY",115.0
54,Data Scientist,Northrop Grumman,"San Diego, CA",109.5
55,Data Scientist,Sartorius,"Albuquerque, NM",75.5
56,Data Scientist,Netskope,"San Francisco, CA",154.5
57,Data Scientist,1904labs,"Saint Louis, MO",143.5
58,Data Scientist,ClearOne Advantage,"Baltimore, MD",73.5
